Fish Species,Caught Time,Latitude,Longitude
붉바리,2024-11-18 03:30:16,33.397907,126.508743
호박돔,2024-09-11 09:06:25,33.530823,126.59726
호박돔,2024-07-27 08:28:28,33.170071,126.760275
벵에돔,2024-04-20 21:57:19,33.279031,126.784762
호박돔,2024-02-07 01:03:54,33.347747,126.752893
광어,2024-02-09 04:24:12,33.213292,126.33997
도도바리,2024-05-21 20:11:25,33.513178,126.869423
자리돔,2024-02-24 21:00:07,33.208805,126.7469
붉바리,2024-03-09 21:31:21,33.389231,126.720374
전갱이,2024-12-07 20:06:16,33.669795,126.808092
붉바리,2024-05-12 21:37:21,33.595567,126.286885
감성돔,2024-12-09 17:14:07,33.68942,126.728997
홍바리,2024-09-04 00:00:18,33.502259,126.820017
고등어,2024-06-21 11:20:19,33.705319,126.453709
볼락,2024-08-19 12:07:09,33.083059,126.824825
도도바리,2024-02-21 00:25:49,33.207107,126.546388
광어,2024-08-15 20:48:29,33.304235,126.483812
광어,2024-11-24 12:00:24,33.36955,126.606728
미역치,2024-03-26 10:28:49,33.560817,126.65393
고등어,2024-09-06 00:30:16,33.247061,126.510273
부시리,2024-04-14 01:46:03,33.210724,126.689182
방어,2024-05-26 14:37:05,33.708371,126.696292
자바리,2024-06-19 12:10:54,33.25312,126.491824
고등어,2024-11-09 19:26:47,33.690349,126.46309
참돔,2024-07-06 17:01:53,33.603267,126.507013
전갱이,2024-03-11 11:11:36,33.41544,126.831825
자바리,2024-02-08 12:21:06,33.647037,126.423116
볼락,2024-06-06 02:59:56,33.340833,126.685915
붉바리,2024-12-10 14:36:50,33.304844,126.236228
우럭,2024-12-05 05:01:09,33.389937,126.655727
호박돔,2024-03-05 22:18:45,33.541582,126.765576
노래미,2024-04-24 18:14:18,33.223663,126.352696
노래미,2024-05-02 00:02:06,33.355298,126.781477
고등어,2024-04-15 02:28:56,33.635431,126.768922
고등어,2024-03-24 13:56:23,33.376942,126.790875
방어,2024-11-12 22:24:21,33.401336,126.476259
도도바리,2024-11-09 05:37:17,33.540816,126.760882
미역치,2024-08-05 10:43:43,33.233539,126.798006
방어,2024-07-12 20:09:52,33.365965,126.448662
자바리,2024-09-27 14:42:34,33.661559,126.385344
방어,2024-05-19 15:01:41,33.510567,126.380986
우럭,2024-09-26 11:10:45,33.328779,126.517788
붉바리,2024-10-20 22:39:16,33.625316,126.819084
고등어,2024-09-25 02:23:50,33.638006,126.800561
미역치,2024-11-13 00:54:13,33.449949,126.564442
자리돔,2024-02-09 09:37:25,33.113429,126.665092
고등어,2024-12-23 20:15:00,33.58776,126.672459
우럭,2024-06-03 18:19:00,33.307861,126.542577
볼락,2024-03-26 13:59:46,33.43589,126.242296
고등어,2024-08-05 02:52:04,33.359983,126.6711
홍바리,2024-01-04 20:19:46,33.336658,126.820958
볼락,2024-07-12 03:44:54,33.250211,126.413935
옥돔,2024-06-06 23:41:22,33.139047,126.33259
옥돔,2024-03-07 02:29:44,33.403453,126.594976
자바리,2024-04-13 19:57:04,33.09596,126.654575
볼락,2024-11-26 07:45:01,33.11953,126.504257
복섬,2024-07-18 00:56:59,33.446332,126.328074
갈돔,2024-10-06 18:24:46,33.39339,126.349809
홍바리,2024-08-22 16:39:56,33.140204,126.299198
우럭,2024-01-16 19:05:35,33.0958,126.553324
벵에돔,2024-11-20 01:42:28,33.653401,126.480457
호박돔,2024-02-24 21:35:40,33.436082,126.324138
벵에돔,2024-11-22 04:18:36,33.526995,126.663541
복섬,2024-12-10 05:39:07,33.436722,126.254441
광어,2024-04-09 16:53:31,33.152863,126.465488
도도바리,2024-01-10 20:31:41,33.210021,126.671857
볼락,2024-01-19 14:05:28,33.144626,126.417208
복섬,2024-10-08 18:41:49,33.686105,126.849199
노래미,2024-09-01 07:14:37,33.197014,126.464642
자리돔,2024-03-24 15:30:08,33.473782,126.338632
홍바리,2024-12-23 14:25:34,33.528435,126.261025
붉바리,2024-11-22 19:04:56,33.357381,126.391378
호박돔,2024-10-09 10:39:26,33.27899,126.384346
우럭,2024-03-05 20:28:02,33.14257,126.559367
참돔,2024-09-28 11:14:52,33.224172,126.267792
호박돔,2024-02-20 01:02:28,33.100421,126.826112
감성돔,2024-02-05 21:05:58,33.18265,126.704823
갈돔,2024-04-12 03:47:01,33.695202,126.69554
미역치,2024-03-07 23:07:11,33.690077,126.601556
고등어,2024-05-14 22:07:16,33.557393,126.8249
홍바리,2024-07-18 05:33:22,33.142138,126.234374
갈돔,2024-07-11 04:49:35,33.128458,126.819499
갈돔,2024-04-07 07:31:38,33.123558,126.847098
참돔,2024-03-21 23:59:06,33.59609,126.574579
전갱이,2024-02-08 13:33:03,33.38346,126.83282
방어,2024-05-16 06:58:52,33.293431,126.84396
부시리,2024-10-22 00:12:01,33.649224,126.382667
참돔,2024-07-14 00:29:10,33.380355,126.272498
복섬,2024-04-10 20:29:06,33.649803,126.689433
방어,2024-11-08 23:47:59,33.401971,126.619976
광어,2024-01-04 21:09:54,33.287604,126.426045
부시리,2024-11-03 03:24:14,33.631903,126.720322
광어,2024-03-08 17:09:43,33.457539,126.551983
자리돔,2024-05-04 01:19:33,33.256794,126.672865
방어,2024-09-03 02:49:14,33.371135,126.661687
도도바리,2024-02-14 11:45:12,33.341169,126.710246
옥돔,2024-09-06 12:50:42,33.186382,126.436099
벵에돔,2024-08-13 00:15:20,33.217707,126.331255
볼락,2024-01-08 06:32:20,33.106828,126.786626
호박돔,2024-07-25 23:33:55,33.608759,126.244208
전갱이,2024-04-18 04:46:38,33.2497,126.802062
벵에돔,2024-09-23 16:26:49,33.238483,126.238101
우럭,2024-11-21 04:39:04,33.270896,126.586408
갈치,2024-05-01 09:42:47,33.630608,126.396774
전갱이,2024-12-09 03:03:51,33.094577,126.353874
노래미,2024-01-18 11:10:30,33.62675,126.542825
갈돔,2024-04-02 06:29:09,33.6163,126.315532
